lyrics,enum
" শুষ্কতাপের দৈত্যপুরে দ্বার ভাঙবে ব’লে,
      রাজপুত্র,  কোথা হতে হঠাৎ এলে চলে॥
  সাত সমুদ্র- পারের থেকে   বজ্রস্বরে এলে হেঁকে,
      দুন্দুভি যে উঠল বেজে বিষম কলরোলে॥
      বীরের পদপরশ পেয়ে মূর্ছা হতে জাগে,
      বসুন্ধরার তপ্ত প্রাণে বিপুল পুলক লাগে।
  মরকতমণির থালা   সাজিয়ে গাঁথে বরণমালা,
      উতলা তার হিয়া আজি সজল হাওয়ায় দোলে॥",1
" হে তাপস, তব শুষ্ক কঠোর রূপের গভীর রসে
  মন আজি মোর উদাস বিভোর কোন্‌ সে ভাবের বশে॥
     তব পিঙ্গল জটা  হানিছে দীপ্ত ছটা,
     তব দৃষ্টির বহ্নিবৃষ্টি অন্তরে গিয়ে পশে॥
          বুঝি না, কিছু না জানি
     মর্মে আমার মৌন তোমার কী বলে রুদ্রবাণী।
  দিগ্‌‍ দিগন্ত দহি  দু:সহ তাপ বহি
  তব নিশ্বাস আমার বক্ষে রহি রহি নিশ্বসে॥
         সারা হয়ে এলে দিন
  সন্ধ্যামেঘের মায়ার মহিমা নি:শেষে হবে লীন।
  দীপ্তি তোমার তবে  শান্ত হইয়া রবে,
  তারায় তারায় নীরব মন্ত্রে ভরি দিবে শূন্য সে॥",1
" মধ্যদিনের বিজন বাতায়নে 
ক্লান্তি-ভরা কোন্‌ বেদনার মায়া  স্বপ্নাভাসে ভাসে মনে-মনে॥
কৈশোরে যে সলাজ কানাকানি  খুঁজেছিল প্রথম প্রেমের বাণী
আজ কেন তাই তপ্ত হাওয়ায় হাওয়ায়  মর্মরিছে গহন বনে বনে॥
যে নৈরাশা গভীর অশ্রুজলে  ডুবেছিল বিস্মরণের তলে
আজ কেন সেই বনযূথীর বাসে  উচ্ছুসিল মধুর নিশ্বাসে,
সারাবেলা চাঁপার ছায়ায় ছায়ায়  গুঞ্জরিয়া ওঠে ক্ষণে ক্ষণে॥",1
"তপস্বিনী হে ধরণী,  ওই-যে তাপের বেলা আসে–
     তপের আসনখানি   প্রসারিল মৌন নীলাকাশে॥
        অন্তরে প্রাণের লীলা  হোক তব অন্ত:শীলা,
        যৌবনের পরিসর  শীর্ণ হোক হোমাগ্নিনিশ্বাসে॥
     যে তব বিচিত্রতান  উচ্ছসি উঠিত বহু গীতে
     এক হয়ে মিশে যাক  মৌনমন্ত্রে ধ্যানের শান্তিতে।
        সংযমে বাঁধুক লতা  কুসুমিত চঞ্চলতা,
        সাজুক লাবণ্যলক্ষ্মী  দৈন্যের ধুসর ধুলিবাসে॥  ",1
"  চক্ষে আমার তৃষ্ণা ওগো, তৃষ্ণা আমার বক্ষ জুড়ে।
আমি বৃষ্টিবিহীন বৈশাখী দিন, সন্তাপে প্রাণ যায় যে পুড়ে॥
    ঝড় উঠেছে তপ্ত হাওয়ায়,  মনকে সুদূর শূন্যে ধাওয়ায়–
                 অবগুন্ঠন যায় যে উড়ে॥
                 যে ফুল কানন করত আলো
                 কালো হয়ে সে শুকালো।
    ঝরনারে কে দিল বাধা–         নিষ্ঠুর পাষাণে বাঁধা
                 দুঃখের শিখরচূড়ে॥",1
"   এসো শ্যামল সুন্দর,
          আনো তব তাপহরা তৃষাহরা সঙ্গসুধা।
          বিরহিণী চাহিয়া আছে আকাশে॥
          সে যে  ব্যথিত হৃদয় আছে বিছায়ে
                তমালকুঞ্জপথে সজল ছায়াতে,
                নয়নে জাগিছে করুণ রাগিণী॥
          বকুলমুকুল রেখেছে গাঁথিয়া,
          বাজিছে অঙ্গনে মিলনবাঁশরি।
                আনো সাথে তোমার মন্দিরা
                চঞ্চল নৃত্যের বাজিবে ছন্দে সে–
                বাজিবে কঙ্কণ, বাজিবে কিঙ্কিণী,
                ঝঙ্কারিবে মঞ্জীর রুণু রুণু॥",1
"ওই আসে ওই  অতি ভৈরব হরষে
          জলসিঞ্চিত ক্ষিতিসৌরভরভসে
          ঘনগৌরবে নবযৌবনা বরষা
          শ্যামগম্ভীর সরসা।
          গুরু গর্জনে নীল অরণ্য শিহরে,
          উতলা কলাপী কেকাকলরবে বিহরে–
          নিখিলচিত্তহরষা
          ঘনগৌরবে আসিছে মত্ত বরষা॥
          কোথা তোরা অয়ি তরুণী পথিকললনা,
          জনপদবধূ তড়িতচকিতনয়না,
          মালতীমালিনী কোথা প্রিয়পরিচারিকা,
          কোথা তোরা অভিসারিকা।
          ঘনবনতলে এসো ঘননীলবসনা,
          ললিত নত্যে বাজুক স্বর্ণরসনা,
          আনো বীণা মনোহারিকা।
          কোথা বিরহিণী, কোথা তোরা অভিসারিকা॥

          আনো মৃদঙ্গ মুরজ মুরলী মধুরা,
          বাজাও শঙ্খ, হুলুরব করো বধুরা–
          এসেছে বরষা, ওগো নব-অনুরাগিণী,
          ওগো প্রিয়সুখভাগিনী।
          কুঞ্জকুটিরে অয়ি ভাবাকুললোচনা,
          ভূর্জপাতায় নবগীত করো রচনা
          মেঘমল্লাররাগিণী।
          এসেছে বরষা, ওগো নব-অনুরাগিণী॥
         
          কেতকীকেশরে কেশপাশ করো সুরভি,
          ক্ষীণ কটিতটে গাঁথি লয়ে পরো করবী॥
          কদম্বরেণু বিছাইয়া দাও শয়নে,
          অঞ্জন আঁকো নয়নে।
          তালেতালে দুটি কঙ্কন কনকনিয়া
          ভবনশিখীরে নাচাও গণিয়া গণিয়া
          স্মিতবিকশিত বয়নে–
          কদম্বরেণু বিছাইয়া ফুলশয়নে॥

          এসেছে বরষা, এসেছে নবীনা বরষা,
          গগন ভরিয়া এসেছে ভুবনভরসা॥
          দুলিছে পবনে সনসন বনবীথিকা,
          গীতময় তরুলতিকা।
          শতেক যুগের কবিদলে মিলি আকাশে
          ধ্বনিয়া তুলিছে মত্তমদির বাতাসে
          শতেক যুগের গীতিকা।
          শতশতগীতমুখরিত বনবীথিকা॥",1
" ঝরঝর বরিষে বারিধারা।
     হায় পথবাসী, হায় গতিহীন,   হায় গৃহহারা॥
     ফিরে বায়ু হাহাস্বরে,  ডাকে কারে জনহীন অসীম প্রান্তরে–
     রজনী আঁধারা॥
     অধীরা যমুনা তরঙ্গ-আকূলা রে,   তিমিরদুকূলা রে।
     নিবিড় নীরদ গগনে  গরগর গরজে সঘনে,
     চঞ্চলচপলা চমকে–  নাহি শশীতারা॥",1
"গহন ঘন ছাইল গগন ঘনাইয়া।
     স্তিমিত দশদিশি, স্তম্ভিত কানন,
     সব চরাচর আকুল– কী হবে কে জানে
     ঘোরা রজনী, দিকললনা ভয়বিভলা॥
     চমকে চমকে সহসা দিক উজলি
     চকিতে চকিতে মাতি ছুটিল বিজলি
     থরথর চরাচর পলকে ঝলকিয়া
     ঘোর তিমিরে ছায় গগন মেদিনী
     গুরুগুরু নীরদ গরজনে স্তব্ধ আঁধার ঘুমাইছে,
     সহসা উঠিল জেগে প্রচন্ড সমীরন– কড়কড় বাজ॥",1
"  হেরিয়া শ্যামল ঘন নীল গগনে
সেই সজল কাজল আঁখি পড়িল মনে॥
     অধর করুনা-মাখা,   মিনতি-বেদনা-আঁকা
     নীরবে চহিয়া থাকা   বিদায়খনে॥
     ঝরঝর ঝরে জল, বিজুলি হানে,
     পবন মাতিছে বনে পাগল গানে।
     আমার পরানপুটে   কোন্‌খানে ব্যথা ফুটে,
     কার কথা জেগে উঠে হদয়কোণে॥",1
" শাঙনগগনে ঘোর ঘনঘটা,  নিশীথযামিনী রে।
     কুঞ্জপথে, সখি, কৈসে যাওব অবলা কামিনী রে।
     উন্মদ পবনে যমুনা তর্জিত, ঘন ঘন গর্জিত মেহ।
     দমকত বিদ্যুত, পথতরু লুন্ঠিত, থরহর কম্পিত দেহ
     ঘন ঘন রিম্‌‍ঝিম্‌ রিম্‌‍ঝিম্‌ রিম্‌‍ঝিম্‌ বরখত নীরদপুঞ্জ।
     শাল-পিয়ালে তাল-তমালে নিবিড়তিমিরময় কুঞ্জ।
     কহ রে সজনী, এ দুরুযোগে কুঞ্জে নিরদয় কান
     দারুণ বাঁশী কাহ বজায়ত সকরুণ রাধা নাম।
     মোতিম হারে বেশ বনা দে, সীঁথি লগা দে ভালে।
     উরহি বিলুন্ঠিত লোল চিকুর মম বাঁধহ চম্পকমালে।
     গহন রয়নমে ন যাও, বালা, নওলকিশোরক পাশ।
     গরজে ঘন ঘন, বহু ডর পাওব, কহে ভানু তব দাস॥",1
" মেঘের পরে মেঘ জমেছে, আঁধার করে আসে।
     আমায় কেন বসিয়ে রাখ একা দ্বারের পাশে॥
       কাজের দিনে নানা কাজে  থাকি নানা লোকের মাঝে,
       আজ আমি যে বসে আছি তোমারি আশ্বাসে॥
     তুমি যদি না দেখা দাও, কর আমায় হেলা,
     কেমন করে কাটে আমার এমন বাদল-বেলা।
        দূরের পানে মেলে আঁখি  কেবল আমি চেয়ে থাকি,
        পরান আমার কেঁদে বেড়ায় দুরন্ত বাতাসে॥",1
" আষাঢ়সন্ধ্যা ঘনিয়ে এল, গেল রে দিন বয়ে।
    বাঁধন-হারা বৃষ্টিধারা ঝরছে রয়ে রয়ে॥
        একলা বসে ঘরের কোণে  কী ভাবি যে আপন-মনে,
        সজল হাওয়া যূথীর বনে  কী কথা যায় কয়ে॥
    হৃদয়ে আজ ঢেউ দিয়েছে, খুঁজে না পাই কূল–
    সৌরভে প্রাণ কাঁদিয়ে তোলে ভিজে বনের ফুল।
        আঁধার রাতে প্রহরগুলি  কোন্‌ সুরে আজ ভরিয়ে তুলি,
        কোন্‌ ভুলে আজ সকল ভুলি  আছি আকুল হয়ে॥",1
" আজ বারি ঝরে ঝরঝর ভরা বাদরে,
    আকাশ-ভাঙা আকুল ধারা কোথাও না ধরে॥
      শালের বনে থেকে থেকে  ঝড় দোলা দেয় হেঁকে হেঁকে,
      জল ছুটে যায় এঁকে বেঁকে মাঠের ’পরে।
    আজ  মেঘের জটা উডিয়ে দিয়ে নৃত্য কে করে॥
    ওরে  বৃষ্টিতে মোর ছুটেছে মন, লুটেছে এই ঝড়ে–
      বুক ছাপিয়ে তরঙ্গ মোর কাহার পায়ে পড়ে।
    অন্তরে আজ কী কলরোল,  দ্বারে দ্বারে ভাঙল আগল–
    হৃদয়-মাঝে জাগল পাগল আজি ভাদরে।
    আজ  এমন ক’রে কে মেতেছে বাহিরে ঘরে॥",1
"  কাঁপিছে দেহলতা থরথর,
                  চোখের জলে আঁখি ভরভর॥
দোদুল তমালেরই বনছায়া তোমারি নীল বাসে নীলকায়া,
                  বাদল-নিশীথেরই ঝরঝর
                  তোমারই আঁখি-’পরে ভরভর॥
                  যেকথা ছিল তব মনেমনে
                  চমকে অধরের কোণেকোণে
নীরব হিয়া তব দিল ভরি ভরি   কী মায়া স্বপনে যে, মরি মরি
                  আঁধার কাননের মরমর
                  বাদল নিশীথের ঝরঝর॥",1
"আমার     দিন ফুরাল ব্যাকুল বাদলসাঁঝে
          গহন মেঘের নিবিড় ধারার মাঝে॥
      বনের ছায়ায় জল ছলছল সুরে
      হৃদয় আমার কানায় কানায় পূরে।
      খনে খনে ওই গুরুগুরু তালে তালে
        গগনে গগনে গভীর মৃদঙ বাজে॥
কোন্‌   দূরের মানুষ যেন এল আজ কাছে,
        তিমির-আড়ালে নীরবে দাঁড়ায়ে আছে।
      বুকে দোলে তার বিরহব্যথার মালা
      গোপন-মিলন-অমৃতগন্ধ-ঢালা।
      মনে হয় তার চরণের ধ্বনি জানি –
        হার মানি তার অজানা জনের সাজে॥",1
"বাদল-মেঘে মাদল বাজে     গুরুগুরু গগন-মাঝে॥
      তারি গভীর রোলে     আমার হৃদয় দোলে,
        আপন সুরে আপনি ভোলে॥
কোথায় ছিল গহন প্রাণে      গোপন ব্যথা গোপন গানে–
      আজি সজল বায়ে       শ্যামল বনের ছায়ে
        ছড়িয়ে গেল সকলখানে গানে গানে॥",1
"ওগো আমার শ্রাবণমেঘের খেয়াতরীর মাঝি,
অশ্রুভরা পুরব হাওয়ায় পাল তুলে দাও আজি॥
        উদাস হৃদয় তাকায়ে রয়,   বোঝা তাহার নয় ভারি নয়,
        পুলক-লাগা এই কদম্বের একটি কেবল সাজি॥
ভোরবেলা যে খেলার সাথি ছিল আমার কাছে,
মনে ভাবি, তার ঠিকানা তোমার জানা আছে।
        তাই তোমারি সারিগানে    সেই আঁখি তার মনে আনে,
        আকাশ-ভরা বেদনাতে রোদন উঠে বাজি॥",1
"তিমির অবগুন্ঠনে বদন তব ঢাকি
কে তুমি মম অঙ্গনে দাঁড়ালে একাকী॥
        আজি সঘন শর্বরী মেঘমগন তারা
        নদীর জলে ঝর্ঝরি ঝরিছে জলধারা,
           তমালবন মর্মরি পবন চলে হাঁকি॥
যে কথা মম অন্তরে আনিছ তুমি টানি
জানি না কোন মন্তরে তাহারে দিব বাণী।
        রয়েছি বাঁধা বন্ধনে, ছিঁড়িব, যাব বাটে
        যেন এ বৃথা ত্রন্দনে এ নিশি নাহি কাটে।
            কঠিন বাধা-লঙ্ঘনে দিব না আমি ফাঁকি॥",1
"আকাশতলে দলে দলে মেঘ যে ডেকে যায়
            ‘আ য়    আ য়   আ য়’॥
জামের বনে আমের বনে রব উঠেছে তাই–
            ‘যা ই     যা ই    যা ই’॥
উড়ে যাওয়ার সাধ জাগে তার পুলক-ভরা ডালে
             পাতায় পাতায়॥
নদীর ধারে বারে বারে মেঘ যে ডেকে যায়–
            ‘আ য়    আ য়   আ য়’॥
কাশের বনে ক্ষণে ক্ষণে রব উঠেছে তাই–
            ‘যা ই     যা ই    যা ই’॥
মেঘের গানে তরীগুলি তান মিলিয়ে চলে
             পাল-তোলা পাখায়॥",1
"কদম্বেরই কানন ঘেরি আষাঢ়মেঘের ছায়া খেলে,
পিয়ালগুলি নাটের ঠাটে হাওয়ায় হেলে॥
        বরষনের   পরশনে শিহর লাগে বনে বনে,
        বিরহী এই মন যে আমার সুদূর-পানে পাখা মেলে॥
আকাশপথে বলাকা ধায় কোন্‌ সে অকারণের বেগে,
পূব হাওয়াতে ঢেউ খেলে যায় ডানার গানের তুফান লেগে।
        ঝিল্লী মুখর বাদল-সাঁঝে কে দেখা দেয় হৃদয়-মাঝে,
        স্বপনরূপে চুপে চুপে ব্যাথায় আমার চরন ফেলে॥",1
